id,target
649,1
81136,1
70762,0
53935,1
15476,0
64797,1
67412,0
44241,0
5069,1
16615,1
84281,1
82623,1
86475,0
68263,1
113135,0
45532,0
102161,1
84789,0
62398,1
70148,0
102487,0
100513,0
92702,0
25051,0
92920,1
25520,1
81869,1
75402,1
34053,0
21191,1
10864,1
6349,1
85213,0
17255,1
108351,0
51437,1
88629,0
85367,1
12313,0
71659,1
35142,1
62988,1
8793,1
11433,1
30586,1
53012,1
87924,0
106177,1
63058,1
99537,1
35336,0
78691,1
16161,1
94318,1
96583,1
104560,0
19638,1
26080,1
113482,1
82175,1
1239,1
32521,0
68529,1
38882,0
8299,1
98521,1
47257,0
42445,1
104700,0
109204,1
20138,0
28468,1
94964,1
59773,1
17261,1
9570,1
55159,0
82480,0
51225,0
53176,0
82883,0
63590,1
50906,0
21635,0
84000,0
79029,1
60256,1
110660,0
51023,1
99146,1
93878,1
93845,1
5364,0
106612,1
79928,1
94761,1
7126,1
82176,0
53475,0
88108,1
65166,1
65378,1
47119,0
64338,1
48872,1
26061,1
78191,1
108224,1
47646,0
63423,1
109453,0
43299,1
86879,1
51882,1
84497,0
19699,0
52164,0
36055,1
17844,1
12006,1
51731,1
101823,1
70611,1
57291,0
3315,0
6841,1
95636,0
89508,1
78357,0
30363,1
65880,0
79166,0
16883,0
19400,1
97846,0
35938,1
109739,1
7542,1
62506,1
106686,1
22500,1
73566,0
34462,1
109,1
82344,1
70324,1
47235,1
78355,0
97012,1
103271,1
54640,1
18452,0
80733,0
22069,1
63586,1
63069,1
66451,1
5163,1
6542,1
79333,1
8752,1
37396,1
27502,1
65597,1
50178,1
51709,0
32294,1
76360,0
51635,1
103391,0
59747,0
21498,1
18771,1
34501,0
77807,1
26350,0
105355,0
5469,1
23826,0
9399,1
44862,0
104114,1
20407,1
7541,1
72892,1
81994,1
111007,1
83350,1
55682,1
26680,1
109949,1
12482,1
108210,1
35717,1
74030,1
18407,0
113337,0
81673,1
80808,1
87300,1
113610,1
68221,1
32307,1
53974,1
80255,1
37547,1
62782,1
60206,1
109533,1
31952,0
31266,0
49517,1
52843,1
107949,0
50424,1
28080,0
63289,0
59792,0
8600,1
30415,1
92033,1
51339,0
104556,1
67550,1
71744,0
49589,1
17018,0
34936,0
110058,1
67668,1
75859,1
38878,1
